scenario,n_items,n_trials,tail_q,mc_reps,metric,estimator,estimand,truth,estimate_mean,bias,rmse,estimate_sd,negative_rate
diffuse,300,2,0.1,12,wtd,split,noisy_selected_set,0.07999999999999997,0.058564814814814826,-0.021435185185185168,0.07066851740238968,0.07033353412985098,0.3333333333333333
diffuse,300,2,0.2,12,signed,signed,latent_metric,-0.07999999999999997,-0.07722222222222222,0.002777777777777751,0.0241618769199807,0.025068928546134128,1.0
diffuse,300,2,0.2,12,ins,raw,latent_metric,0.07999999999999997,0.34194444444444444,0.2619444444444445,0.2627428330065281,0.02137724332056245,0.0
diffuse,300,2,0.2,12,ins,adjusted,latent_metric,0.07999999999999997,0.18850694444444446,0.10850694444444446,0.11170676564904003,0.027725495305351136,0.0
diffuse,300,2,0.2,12,wtd,raw,oracle_tail,0.08000000000000002,0.6680555555555555,0.5880555555555556,0.5899992153164901,0.04997895179868842,0.0
diffuse,300,2,0.2,12,wtd,adjusted,oracle_tail,0.08000000000000002,0.28046875,0.20046874999999997,0.21109622705054268,0.06907622152438259,0.0
diffuse,300,2,0.2,12,wtd,split_oracle_comparison,oracle_tail,0.08000000000000002,0.07439236111111111,-0.0056076388888889024,0.08758344281526911,0.09129022953675524,0.16666666666666666
diffuse,300,2,0.2,12,wtd,split,noisy_selected_set,0.07999999999999997,0.07439236111111111,-0.005607638888888873,0.08758344281526911,0.09129022953675524,0.16666666666666666
diffuse,300,5,0.05,12,signed,signed,latent_metric,-0.07999999999999997,-0.07155555555555555,0.008444444444444418,0.01973153144926498,0.01862621880404144,1.0
diffuse,300,5,0.05,12,ins,raw,latent_metric,0.07999999999999997,0.23211111111111113,0.15211111111111114,0.15233977618274033,0.0087147075651526,0.0
diffuse,300,5,0.05,12,ins,adjusted,latent_metric,0.07999999999999997,0.05303472222222224,-0.026965277777777737,0.028705708188671575,0.010281040466294477,0.0
diffuse,300,5,0.05,12,wtd,raw,oracle_tail,0.08000000000000004,0.6466666666666667,0.5666666666666667,0.5672807130578364,0.027560768487035363,0.0
diffuse,300,5,0.05,12,wtd,adjusted,oracle_tail,0.08000000000000004,0.10092592592592602,0.02092592592592596,0.03264095738126311,0.026164605993762455,0.0
diffuse,300,5,0.05,12,wtd,split_oracle_comparison,oracle_tail,0.08000000000000004,0.060108024691358015,-0.019891975308642017,0.05062979981141304,0.04862867781573267,0.16666666666666666
diffuse,300,5,0.05,12,wtd,split,noisy_selected_set,0.07999999999999997,0.060108024691358015,-0.019891975308641962,0.050629799811413016,0.04862867781573267,0.16666666666666666
diffuse,300,5,0.1,12,signed,signed,latent_metric,-0.07999999999999997,-0.08233333333333333,-0.002333333333333358,0.01618641405623865,0.016729578233738825,1.0
diffuse,300,5,0.1,12,ins,raw,latent_metric,0.07999999999999997,0.2376666666666667,0.1576666666666667,0.15806304414987693,0.011684402103884158,0.0
diffuse,300,5,0.1,12,ins,adjusted,latent_metric,0.07999999999999997,0.06372685185185185,-0.01627314814814812,0.020488284567692538,0.013001585380609474,0.0
diffuse,300,5,0.1,12,wtd,raw,oracle_tail,0.08000000000000003,0.5744444444444445,0.49444444444444446,0.49553562491061687,0.03432857670296256,0.0
diffuse,300,5,0.1,12,wtd,adjusted,oracle_tail,0.08000000000000003,0.10824074074074076,0.028240740740740723,0.04377710800390072,0.034937280129337056,0.0
diffuse,300,5,0.1,12,wtd,split_oracle_comparison,oracle_tail,0.08000000000000003,0.08122106481481481,0.0012210648148147825,0.0414252679050111,0.04324848064660724,0.0
diffuse,300,5,0.1,12,wtd,split,noisy_selected_set,0.07999999999999997,0.08122106481481481,0.0012210648148148241,0.0414252679050111,0.04324848064660724,0.0
diffuse,300,5,0.2,12,signed,signed,latent_metric,-0.07999999999999997,-0.07772222222222223,0.0022777777777777453,0.015110702608857511,0.015602274719763666,1.0
diffuse,300,5,0.2,12,ins,raw,latent_metric,0.07999999999999997,0.23961111111111108,0.15961111111111112,0.16001030059435645,0.011797819806580874,0.0
diffuse,300,5,0.2,12,ins,adjusted,latent_metric,0.07999999999999997,0.06025231481481482,-0.019747685185185163,0.024774973630977623,0.01562614062428567,0.0
diffuse,300,5,0.2,12,wtd,raw,oracle_tail,0.08000000000000002,0.4955555555555555,0.4155555555555555,0.4160640086083622,0.02147741747230011,0.0
