cell,n_trials,tail_q,subsample_rep,ins_raw,ins_floor,ins_adjusted,wtd_raw,wtd_floor,wtd_adjusted,wtd_split,absolute_loss_tail_raw,absolute_loss_tail_crossfit,benchmark,model
mmlu_pro.gpt55,5,0.2,9,0.0644,0.03293125,0.03146875,0.14600000000000002,0.08403125,0.06196875000000002,0.054570312499999996,0.8740000000000001,0.8088151041666667,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.05,0,0.048,0.0280375,0.0199625,0.304,0.228375,0.075625,0.09618750000000001,1.0,0.9424999999999999,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.05,1,0.056400000000000006,0.02761875,0.028781250000000005,0.35200000000000004,0.2259375,0.12606250000000002,0.16581249999999997,1.0,0.9416875,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.05,2,0.049,0.029206250000000003,0.01979375,0.336,0.231125,0.10487500000000002,0.133625,1.0,0.95175,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.05,3,0.05240000000000001,0.028393750000000002,0.024006250000000007,0.35200000000000004,0.22675,0.12525000000000003,0.16231250000000003,1.0,0.9524999999999999,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.05,4,0.05859999999999999,0.027446875000000003,0.03115312499999999,0.428,0.22325,0.20475,0.269125,1.0,0.9465625,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.05,5,0.053200000000000004,0.02594375,0.027256250000000003,0.35600000000000004,0.211125,0.14487500000000003,0.1524375,1.0,0.954875,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.05,6,0.053200000000000004,0.02820625,0.024993750000000006,0.36800000000000005,0.233125,0.13487500000000005,0.17381249999999998,1.0,0.954375,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.05,7,0.0548,0.02685,0.027950000000000003,0.368,0.2185625,0.1494375,0.1903125,1.0,0.94875,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.05,8,0.05159999999999999,0.028909375,0.022690624999999992,0.34,0.2379375,0.10206250000000003,0.1326875,1.0,0.947375,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.05,9,0.046799999999999994,0.027040625,0.019759374999999996,0.32,0.22262500000000002,0.09737499999999999,0.103625,1.0,0.9570000000000001,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.1,0,0.0496,0.027296874999999998,0.022303125,0.222,0.1391875,0.08281250000000001,0.07871875,0.998,0.95296875,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.1,1,0.05160000000000001,0.027375,0.024225000000000007,0.24000000000000005,0.13590625,0.10409375000000004,0.10543749999999999,1.0,0.9536875,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.1,2,0.050199999999999995,0.027618750000000004,0.02258124999999999,0.20999999999999996,0.13534375,0.07465624999999995,0.0793125,1.0,0.9555624999999999,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.1,3,0.056,0.028784375,0.027215625,0.268,0.1505625,0.11743750000000003,0.13965625,1.0,0.948125,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.1,4,0.0536,0.028421875,0.025178125000000003,0.258,0.141875,0.116125,0.1225625,1.0,0.95209375,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.1,5,0.054799999999999995,0.026193750000000002,0.028606249999999993,0.23800000000000004,0.1313125,0.10668750000000005,0.10215625,1.0,0.956375,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.1,6,0.0536,0.027565625000000003,0.026034375,0.268,0.13621875,0.13178125000000002,0.12946875000000002,0.996,0.94909375,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.1,7,0.0578,0.02689375,0.030906249999999996,0.272,0.13187500000000002,0.140125,0.14459375000000002,1.0,0.9533749999999999,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.1,8,0.053,0.025446875,0.027553124999999998,0.25199999999999995,0.12671875,0.12528124999999996,0.11315625,0.998,0.95434375,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.1,9,0.0564,0.027296875,0.029103124999999997,0.24,0.13890625,0.10109374999999998,0.11,1.0,0.955125,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.2,0,0.052,0.0279625,0.024037499999999996,0.127,0.071015625,0.055984375,0.053750000000000006,0.8519999999999999,0.816546875,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.2,1,0.0536,0.026375,0.027225000000000003,0.11599999999999999,0.066,0.04999999999999999,0.050734375,0.8430000000000001,0.80971875,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.2,2,0.052,0.027759374999999996,0.024240625000000002,0.128,0.070375,0.05762500000000001,0.059656249999999994,0.8540000000000001,0.8169687499999999,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.2,3,0.0506,0.0280625,0.0225375,0.107,0.070703125,0.03629687499999999,0.037468749999999995,0.8480000000000001,0.8127500000000001,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.2,4,0.0508,0.027225,0.023575,0.111,0.07048437499999999,0.04051562500000001,0.036890625,0.8420000000000001,0.802921875,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.2,5,0.0526,0.028375000000000004,0.024224999999999997,0.11699999999999998,0.0695,0.04749999999999997,0.04759374999999999,0.853,0.816828125,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.2,6,0.0502,0.026425,0.023775,0.12299999999999997,0.06668750000000001,0.05631249999999996,0.050515624999999995,0.855,0.8198749999999999,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.2,7,0.0558,0.027796875000000002,0.028003125,0.128,0.069,0.059,0.062703125,0.847,0.8143593749999999,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.2,8,0.053599999999999995,0.029065625,0.024534374999999994,0.131,0.070546875,0.06045312500000001,0.053546874999999994,0.8469999999999999,0.81146875,mmlu_pro,gpt55
mmlu_pro.gpt55,10,0.2,9,0.0502,0.028103125,0.022096875000000002,0.11199999999999999,0.070203125,0.04179687499999998,0.038515625,0.8420000000000001,0.80515625,mmlu_pro,gpt55
mmlu_pro.gpt55,20,0.05,0,0.046,0.0213375,0.0246625,0.31799999999999995,0.1613125,0.15668749999999995,0.19768749999999996,1.0,0.97675,mmlu_pro,gpt55
mmlu_pro.gpt55,20,0.1,0,0.046,0.0217734375,0.0242265625,0.206,0.10907812499999998,0.096921875,0.12131249999999999,0.992,0.975296875,mmlu_pro,gpt55
mmlu_pro.gpt55,20,0.2,0,0.046,0.021328125,0.024671875,0.1075,0.052281249999999994,0.055218750000000004,0.0611953125,0.8455000000000001,0.825796875,mmlu_pro,gpt55
mmlu_pro.gpt54,2,0.05,0,0.103,0.026359375,0.07664062499999999,0.68,0.265625,0.41437500000000005,0.1953125,1.0,0.8303125,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.05,1,0.099,0.019625,0.079375,0.8,0.20437500000000003,0.5956250000000001,0.36875,1.0,0.7631249999999999,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.05,2,0.096,0.02165625,0.07434375,0.72,0.20781249999999998,0.5121875,0.3303125,1.0,0.8840625000000001,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.05,3,0.104,0.024109374999999995,0.07989062499999999,0.8,0.2371875,0.5628125,0.385625,1.0,0.8115625000000001,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.05,4,0.097,0.0326875,0.0643125,0.72,0.32125000000000004,0.39874999999999994,0.3059375,1.0,0.826875,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.05,5,0.09,0.02940625,0.06059375,0.78,0.28937500000000005,0.490625,0.3084375,1.0,0.7831250000000001,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.05,6,0.096,0.024281249999999997,0.07171875,0.78,0.24656250000000002,0.5334375,0.40125,1.0,0.8059375000000001,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.05,7,0.09,0.027937499999999997,0.0620625,0.76,0.28593749999999996,0.47406250000000005,0.3528125,1.0,0.8531250000000001,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.05,8,0.088,0.030578124999999998,0.057421875,0.72,0.3071875,0.41281249999999997,0.2084375,1.0,0.711875,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.05,9,0.097,0.027906249999999997,0.06909375000000001,0.62,0.278125,0.341875,0.1028125,1.0,0.8128125000000002,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.1,0,0.092,0.024093749999999997,0.06790625,0.6,0.12140625,0.47859375,0.23421874999999998,1.0,0.77875,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.1,1,0.091,0.025953125,0.065046875,0.54,0.12421875,0.41578125000000005,0.11812500000000001,1.0,0.8051562500000001,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.1,2,0.093,0.025406250000000002,0.06759375,0.58,0.12375000000000001,0.45624999999999993,0.24593750000000003,1.0,0.84484375,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.1,3,0.101,0.03265625,0.06834375000000001,0.53,0.16234375,0.36765625,0.14859375,1.0,0.8557812499999999,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.1,4,0.094,0.028531249999999998,0.06546875,0.6,0.14046875,0.45953124999999995,0.20453124999999997,1.0,0.7871875,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.1,5,0.093,0.0239375,0.0690625,0.63,0.12265625000000001,0.50734375,0.2365625,1.0,0.76140625,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.1,6,0.097,0.025437500000000002,0.0715625,0.54,0.1246875,0.41531250000000003,0.13828125,1.0,0.7264062499999999,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.1,7,0.095,0.022328124999999997,0.072671875,0.59,0.1065625,0.48343749999999996,0.1190625,1.0,0.75609375,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.1,8,0.097,0.0295,0.0675,0.57,0.14468750000000002,0.4253124999999999,0.19874999999999998,1.0,0.8126562500000001,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.1,9,0.103,0.031328125,0.071671875,0.63,0.1584375,0.4715625,0.19906249999999998,1.0,0.79484375,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.2,0,0.094,0.027890624999999995,0.066109375,0.32,0.072265625,0.247734375,0.06609375,0.895,0.7469531250000001,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.2,1,0.087,0.031546875,0.05545312499999999,0.265,0.080390625,0.18460937500000002,0.05015625,0.89,0.746328125,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.2,2,0.093,0.02315625,0.06984375,0.305,0.059453124999999996,0.245546875,0.089296875,0.9,0.7610937499999999,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.2,3,0.093,0.022046875,0.070953125,0.305,0.05453125,0.25046875,0.086875,0.9,0.76046875,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.2,4,0.113,0.028406249999999997,0.08459375000000001,0.33,0.06921875000000001,0.26078125,0.12609375,0.92,0.8028124999999999,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.2,5,0.096,0.024421875,0.071578125,0.31,0.062109374999999994,0.247890625,0.127265625,0.935,0.7926562500000001,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.2,6,0.086,0.024984375,0.06101562499999999,0.25,0.06015625,0.18984375,0.06109375,0.905,0.790234375,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.2,7,0.084,0.031843750000000004,0.05215625,0.255,0.078984375,0.176015625,0.04,0.9,0.76875,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.2,8,0.101,0.02934375,0.07165625,0.305,0.076171875,0.228828125,0.069375,0.91,0.7750781250000001,mmlu_pro,gpt54
mmlu_pro.gpt54,2,0.2,9,0.091,0.02346875,0.06753125,0.26,0.0571875,0.2028125,0.0925,0.895,0.7805468750000001,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.05,0,0.07880000000000001,0.0318,0.04700000000000001,0.5680000000000001,0.294625,0.27337500000000003,0.27567708333333335,1.0,0.9030208333333334,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.05,1,0.0748,0.030712499999999997,0.04408750000000001,0.544,0.28700000000000003,0.257,0.27619791666666665,1.0,0.9075,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.05,2,0.0792,0.032412500000000004,0.0467875,0.6240000000000001,0.294875,0.3291250000000001,0.34625,1.0,0.9199999999999999,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.05,3,0.07840000000000001,0.032431249999999995,0.04596875000000002,0.6,0.29775000000000007,0.3022499999999999,0.31994791666666667,1.0,0.8819791666666668,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.05,4,0.082,0.0297875,0.0522125,0.6160000000000001,0.29337500000000005,0.32262500000000005,0.34958333333333336,1.0,0.8940625,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.05,5,0.0856,0.03115,0.05445,0.6080000000000001,0.2881250000000001,0.319875,0.32046874999999997,1.0,0.8871875,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.05,6,0.08120000000000001,0.03370625000000001,0.04749375,0.6240000000000001,0.31062500000000004,0.31337500000000007,0.3490625,1.0,0.91671875,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.05,7,0.08159999999999999,0.0326375,0.04896249999999999,0.6160000000000001,0.30400000000000005,0.31200000000000006,0.34901041666666666,1.0,0.915625,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.05,8,0.08,0.028706250000000003,0.05129375,0.648,0.2755,0.3725,0.38348958333333333,1.0,0.8868750000000001,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.05,9,0.0804,0.0310625,0.0493375,0.632,0.30225,0.32975,0.35609375,1.0,0.8941145833333334,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.1,0,0.0768,0.02920625,0.04759374999999999,0.42800000000000005,0.14625000000000002,0.28175000000000006,0.24122395833333335,1.0,0.89734375,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.1,1,0.0888,0.033549999999999996,0.05525000000000001,0.452,0.16825,0.28375,0.259765625,1.0,0.9209895833333333,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.1,2,0.07880000000000001,0.032043749999999996,0.04675625000000001,0.46399999999999997,0.1609375,0.30306249999999996,0.28125,1.0,0.9057291666666667,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.1,3,0.0808,0.03163125,0.04916875,0.44,0.15962500000000002,0.280375,0.22234375,1.0,0.8849479166666667,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.1,4,0.082,0.034656250000000006,0.04734375,0.412,0.17350000000000002,0.23849999999999996,0.2101041666666667,1.0,0.8994791666666666,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.1,5,0.07440000000000001,0.0309125,0.04348750000000001,0.42800000000000005,0.15456250000000002,0.2734375,0.23281250000000003,1.0,0.899921875,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.1,6,0.0844,0.0338625,0.050537500000000006,0.44799999999999995,0.16725,0.28074999999999994,0.2499739583333333,1.0,0.904296875,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.1,7,0.0808,0.034218750000000006,0.04658124999999999,0.4360000000000001,0.167,0.26900000000000013,0.2450520833333333,1.0,0.9157031250000001,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.1,8,0.0844,0.033437499999999995,0.05096250000000001,0.46399999999999997,0.1645625,0.29943749999999997,0.26528645833333336,1.0,0.9099479166666666,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.1,9,0.0724,0.03316875,0.03923125000000001,0.38800000000000007,0.16518750000000001,0.22281250000000005,0.17843750000000003,1.0,0.8987760416666667,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.2,0,0.0732,0.0314375,0.0417625,0.23,0.07765625,0.15234375,0.0991796875,0.88,0.8007552083333334,mmlu_pro,gpt54
mmlu_pro.gpt54,5,0.2,1,0.07880000000000001,0.03181875000000001,0.04698125,0.25199999999999995,0.08096875,0.17103124999999994,0.12053385416666668,0.8739999999999999,0.7950651041666668,mmlu_pro,gpt54
